nohup: ignoring input
Device: cuda
Loading note model from /workspace/scripts/../models/pretrained/CRNN_note_F1=0.9677_pedal_F1=0.9186.pth
Building datasets...
Train segments: 57200, Val segments: 7342
Starting training (max_steps=70000, starting_step=0)
[step 2370/70000] loss=0.5787 lr=1.0e-05 (0.81s/step, ~15h12m left)
[step 2380/70000] loss=0.5836 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 2390/70000] loss=0.6312 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 2400/70000] loss=0.6075 lr=1.0e-05 (0.81s/step, ~15h17m left)
[step 2410/70000] loss=0.6134 lr=1.0e-05 (0.81s/step, ~15h16m left)
[step 2420/70000] loss=0.5832 lr=1.0e-05 (0.81s/step, ~15h15m left)
[step 2430/70000] loss=0.5880 lr=1.0e-05 (0.82s/step, ~15h19m left)
[step 2440/70000] loss=0.6032 lr=1.0e-05 (0.82s/step, ~15h22m left)
[step 2450/70000] loss=0.5750 lr=1.0e-05 (0.82s/step, ~15h17m left)
[step 2460/70000] loss=0.5995 lr=1.0e-05 (0.81s/step, ~15h16m left)
[step 2470/70000] loss=0.5925 lr=1.0e-05 (0.82s/step, ~15h20m left)
[step 2480/70000] loss=0.6048 lr=1.0e-05 (0.82s/step, ~15h21m left)
[step 2490/70000] loss=0.5884 lr=1.0e-05 (0.82s/step, ~15h22m left)
[step 2500/70000] loss=0.5956 lr=1.0e-05 (0.82s/step, ~15h22m left)
[eval @ step 2500] val_loss=0.5609 train_loss=0.5961
[saved] runs/finetune_001/step_0002500.pth
[step 2510/70000] loss=0.5793 lr=1.0e-05 (0.82s/step, ~15h20m left)
[step 2520/70000] loss=0.5894 lr=1.0e-05 (0.81s/step, ~15h15m left)
[step 2530/70000] loss=0.5812 lr=1.0e-05 (0.81s/step, ~15h15m left)
[step 2540/70000] loss=0.5849 lr=1.0e-05 (0.82s/step, ~15h18m left)
[step 2550/70000] loss=0.5856 lr=1.0e-05 (0.81s/step, ~15h15m left)
[step 2560/70000] loss=0.5814 lr=1.0e-05 (0.82s/step, ~15h16m left)
[step 2570/70000] loss=0.5989 lr=1.0e-05 (0.82s/step, ~15h18m left)
[step 2580/70000] loss=0.5781 lr=1.0e-05 (0.82s/step, ~15h21m left)
[step 2590/70000] loss=0.5697 lr=1.0e-05 (0.82s/step, ~15h18m left)
[step 2600/70000] loss=0.5865 lr=1.0e-05 (0.82s/step, ~15h20m left)
[step 2610/70000] loss=0.5835 lr=1.0e-05 (0.82s/step, ~15h16m left)
[step 2620/70000] loss=0.6003 lr=1.0e-05 (0.82s/step, ~15h19m left)
[step 2630/70000] loss=0.5804 lr=1.0e-05 (0.81s/step, ~15h14m left)
[step 2640/70000] loss=0.6289 lr=1.0e-05 (0.81s/step, ~15h14m left)
[step 2650/70000] loss=0.5835 lr=1.0e-05 (0.81s/step, ~15h14m left)
[step 2660/70000] loss=0.5761 lr=1.0e-05 (0.81s/step, ~15h14m left)
[step 2670/70000] loss=0.5756 lr=1.0e-05 (0.82s/step, ~15h18m left)
[step 2680/70000] loss=0.6225 lr=1.0e-05 (0.82s/step, ~15h15m left)
[step 2690/70000] loss=0.5930 lr=1.0e-05 (0.82s/step, ~15h20m left)
[step 2700/70000] loss=0.5791 lr=1.0e-05 (0.82s/step, ~15h16m left)
[step 2710/70000] loss=0.5861 lr=1.0e-05 (0.81s/step, ~15h12m left)
[step 2720/70000] loss=0.6016 lr=1.0e-05 (0.81s/step, ~15h10m left)
[step 2730/70000] loss=0.5922 lr=1.0e-05 (0.81s/step, ~15h12m left)
[step 2740/70000] loss=0.5889 lr=1.0e-05 (0.81s/step, ~15h12m left)
[step 2750/70000] loss=0.5938 lr=1.0e-05 (0.81s/step, ~15h11m left)
[step 2760/70000] loss=0.5909 lr=1.0e-05 (0.81s/step, ~15h12m left)
[step 2770/70000] loss=0.5863 lr=1.0e-05 (0.81s/step, ~15h11m left)
[step 2780/70000] loss=0.6064 lr=1.0e-05 (0.81s/step, ~15h08m left)
[step 2790/70000] loss=0.5873 lr=1.0e-05 (0.81s/step, ~15h07m left)
[step 2800/70000] loss=0.6025 lr=1.0e-05 (0.81s/step, ~15h06m left)
[step 2810/70000] loss=0.5820 lr=1.0e-05 (0.81s/step, ~15h12m left)
[step 2820/70000] loss=0.5882 lr=1.0e-05 (0.81s/step, ~15h05m left)
[step 2830/70000] loss=0.5866 lr=1.0e-05 (0.81s/step, ~15h03m left)
[step 2840/70000] loss=0.5887 lr=1.0e-05 (0.81s/step, ~15h05m left)
[step 2850/70000] loss=0.5879 lr=1.0e-05 (0.81s/step, ~15h06m left)
[step 2860/70000] loss=0.5912 lr=1.0e-05 (0.81s/step, ~15h04m left)
[step 2870/70000] loss=0.5852 lr=1.0e-05 (0.81s/step, ~15h04m left)
[step 2880/70000] loss=0.5828 lr=1.0e-05 (0.81s/step, ~15h10m left)
[step 2890/70000] loss=0.5784 lr=1.0e-05 (0.82s/step, ~15h14m left)
[step 2900/70000] loss=0.5861 lr=1.0e-05 (0.82s/step, ~15h13m left)
[step 2910/70000] loss=0.6029 lr=1.0e-05 (0.82s/step, ~15h14m left)
[step 2920/70000] loss=0.5923 lr=1.0e-05 (0.82s/step, ~15h15m left)
[step 2930/70000] loss=0.5937 lr=1.0e-05 (0.81s/step, ~15h09m left)
[step 2940/70000] loss=0.5779 lr=1.0e-05 (0.82s/step, ~15h12m left)
[step 2950/70000] loss=0.5887 lr=1.0e-05 (0.82s/step, ~15h11m left)
[step 2960/70000] loss=0.5782 lr=1.0e-05 (0.82s/step, ~15h13m left)
[step 2970/70000] loss=0.5913 lr=1.0e-05 (0.82s/step, ~15h14m left)
[step 2980/70000] loss=0.5892 lr=1.0e-05 (0.81s/step, ~15h09m left)
[step 2990/70000] loss=0.5990 lr=1.0e-05 (0.81s/step, ~15h08m left)
[step 3000/70000] loss=0.5834 lr=1.0e-05 (0.82s/step, ~15h13m left)
[step 3010/70000] loss=0.5993 lr=1.0e-05 (0.81s/step, ~15h07m left)
[step 3020/70000] loss=0.5986 lr=1.0e-05 (0.82s/step, ~15h09m left)
[step 3030/70000] loss=0.5802 lr=1.0e-05 (0.82s/step, ~15h11m left)
